,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
3594,SI,98.0,-0.6864,6.4743,-1.0928,1.1263,1.3356,-142.6757,-15.3326,28.4921,-14.9479,98.673,2145.0,6.345,Sinker
3595,SL,91.3,-0.745,6.3989,0.2396,0.0129,3.5106,-132.8652,2.1243,27.4404,-30.6498,91.626,2056.0,6.401,Slider
3596,SL,91.8,-0.8112,6.4482,0.1251,0.3038,2.0883,-133.8281,1.1116,25.47,-28.1707,92.301,2098.0,6.225,Slider
3597,FF,98.1,-0.9544,6.3513,-0.4676,1.0386,4.3759,-142.8179,-7.3461,28.685,-16.2943,98.84,2131.0,6.392,4-Seam Fastball
3598,FF,98.0,-0.8239,6.5059,-0.4537,1.1466,1.4289,-142.8428,-6.557,28.8677,-15.7474,98.779,2131.0,6.36,4-Seam Fastball
3599,FF,98.3,-0.7277,6.3541,-0.936,1.1422,2.4837,-143.0592,-13.5761,30.3987,-14.6232,99.225,1980.0,6.621,4-Seam Fastball
3600,SL,91.5,-0.8102,6.4215,0.3259,0.4823,0.6932,-133.2931,3.7568,26.4992,-25.6913,91.842,2022.0,6.267,Slider
3601,FF,98.7,-0.9377,6.4263,-0.6799,1.0943,3.8159,-143.7249,-10.3345,32.2639,-15.9791,99.2,2031.0,6.458,4-Seam Fastball
3602,SL,90.3,-0.7695,6.4128,0.3169,0.2152,1.4676,-131.5509,3.4038,24.5298,-28.6347,90.513,1989.0,6.086,Slider
3603,SI,98.7,-0.8013,6.2736,-1.0011,1.0961,8.5261,-143.4897,-15.7989,29.8836,-15.2013,99.465,2048.0,6.542,Sinker
3604,FF,97.8,-0.8996,6.4848,-0.8134,1.1836,7.2364,-142.2693,-12.5599,28.7659,-14.9525,98.145,2147.0,6.236,4-Seam Fastball
3605,SL,91.3,-0.7226,6.4504,0.3502,0.2567,2.5862,-132.9765,3.6237,27.3252,-28.0346,91.508,2120.0,6.271,Slider
3606,CH,90.5,-0.9191,6.2865,-1.5404,0.334,6.3097,-131.6237,-19.2951,28.5532,-27.1437,90.621,1893.0,6.441,Changeup
3607,SI,97.9,-0.6734,6.4064,-1.3114,0.7912,1.2038,-142.2857,-18.1928,31.8383,-19.1576,98.223,2143.0,6.482,Sinker
3608,FF,97.2,-0.8143,6.3961,-0.4099,1.3813,1.85,-141.4389,-5.948,32.3584,-11.9382,97.528,2191.0,6.483,4-Seam Fastball
3609,CH,87.7,-2.3003,5.9371,-1.1171,0.7101,9.8325,-127.4466,-14.3476,23.5353,-23.0785,89.041,1734.0,6.966,Changeup
